Marketplace;Address;TokenID;MetadataURL;Decentralized
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/9754;0xed5af388653567af2f388e6224dc7c4b3241c544;9754;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/9754;true
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/4115;0xed5af388653567af2f388e6224dc7c4b3241c544;4115;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/4115;true
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8750;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;8750;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/8750;true
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9852;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;9852;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9852;true
https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/2824;undefined;undefined;undefined;undefined
https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/2454;0xed5af388653567af2f388e6224dc7c4b3241c544;2454;https://ikzttp.mypinata.cloud/ipfs/QmQFkLSQysj94s5GvTHPyzTxrawwtjgiiYS2TBLgrvw8CW/2454;true
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9751;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;9751;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9751;true
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3682;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;3682;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/3682;true
https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/18569;0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b;18569;https://clonex-assets.rtfkt.com/18569;false
https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8640;0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d;8640;ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/8640;true
